,Course_Name,Company,Degree,Score,Reviews,Skills,Level/Cert/Time,IsFree,Course_Url
794,Build an Income Statement Dashboard in Power BI,Coursera Project Network,,4.6,(11 reviews),"Interactive Data Visualization, Power BI",Beginner / Guided Project / Less Than 2 Hours,,https://www.coursera.org/projects/build-an-income-statement-dashboard-in-power-bi
795,Machine Learning - Anomaly Detection via PyCaret,Coursera Project Network,,3.8,(15 reviews),"Machine Learning, Data Visualization",Intermediate / Guided Project / Less Than 2 Hours,,https://www.coursera.org/projects/anomaly-detection
796,Data Analysis in Python: Using Pandas DataFrames,Coursera Project Network,,4.8,(9 reviews),"Python Programming, Data Analysis, Data Visualization",Intermediate / Guided Project / Less Than 2 Hours,,https://www.coursera.org/projects/data-analysis-in-python-using-pandas-dataframes
797,COVID19 Data Visualization Using Python,Coursera Project Network,,4.4,(93 reviews),"Data Analysis, Data Visualization, Python Programming",Intermediate / Guided Project / Less Than 2 Hours,,https://www.coursera.org/projects/covid19-data-visualization-using-python
798,Daten fÃ¼r die Erkundung Vorbereiten,Google,,,,"Design and Product, Software Engineering, Business Analysis, Data Analysis, Microsoft Excel, SQL",Beginner / Course / 3 - 6 Months,,https://www.coursera.org/learn/daten-fur-die-erkundung-vorbereiten
799,Data Storytelling,Fractal Analytics,,4.9,(7 reviews),"Data Visualization, Storytelling",Beginner / Course / 3 - 6 Months,,https://www.coursera.org/learn/data-storytelling-fractal
800,Mempersiapkan Data untuk Eksplorasi,Google,,4.9,(324 reviews),"Data Analysis, Data Management, Databases, Spreadsheet Software, Big Data, Business Analysis, Data Structures, Operating Systems, SQL, Statistical Programming",Beginner / Course / 3 - 6 Months,,https://www.coursera.org/learn/mempersiapkan-data-untuk-eksplorasi
801,Advanced Clinical Data Science,University of Colorado System,,4.8,(21 reviews),,Intermediate / Course / 3 - 6 Months,,https://www.coursera.org/learn/advanced-clinical-data-science
802,IntegraciÃ³n y preparaciÃ³n de datos,Universidad de los Andes,,4.9,(48 reviews),"Leadership and Management, Strategy, Market Analysis, Business Analysis, Communication, Big Data, Data Model",Beginner / Course / 3 - 6 Months,,https://www.coursera.org/learn/integracion-y-preparacion-de-datos
803,Modelos predictivos con aprendizaje automÃ¡tico,Universidad de los Andes,,4.6,(42 reviews),"Algorithms, Probability & Statistics, Regression, Statistical Machine Learning, Machine Learning Algorithms",Beginner / Course / 3 - 6 Months,,https://www.coursera.org/learn/modelos-predictivos-con-aprendizaje-automatico
804,Data Collection and Root Cause Analysis,SkillUp EdTech,,,,,Beginner / Course / 3 - 6 Months,,https://www.coursera.org/learn/data-collection-and-root-cause-analysis
805,"Dasar-dasar Analitik Data: Data, Data di Mana-mana",Google,,4.9,(1.2K reviews),"Big Data, Data Analysis, Exploratory Data Analysis, Correlation And Dependence, Data Visualization, SQL, Data Management, Databases, Spreadsheet Software, Interactive Data Visualization",Beginner / Course / 3 - 6 Months,,https://www.coursera.org/learn/dasar-dasar-analitik-data-data-data-di-mana-mana
806,Regression Modeling Fundamentals,SAS,,4.7,(47 reviews),"Data Analysis, General Statistics, Probability & Statistics, Regression, SAS (Software), Statistical Analysis, Statistical Programming, Data Model, Statistical Tests, Statistical Visualization",Intermediate / Course / 3 - 6 Months,,https://www.coursera.org/learn/regression-modeling-sas
807,Arranging and Visualizing Data in R,University of Michigan,,,,,Intermediate / Course / 3 - 6 Months,,https://www.coursera.org/learn/arranging-visualizing-data-r
808,Linear Regression Modeling for Health Data,University of Michigan,,,,,Intermediate / Course / 3 - 6 Months,,https://www.coursera.org/learn/linear-regression-modeling-health-data
809,Logistic Regression and Prediction for Health Data,University of Michigan,,,,,Intermediate / Course / 3 - 6 Months,,https://www.coursera.org/learn/logistic-regression-prediction-health-data
810,Data Visualization with Python,Duke University,,3.8,(6 reviews),"Business Communication, Cloud Applications, Data Analysis, Data Visualization, Python Programming",Intermediate / Course / 3 - 6 Months,,https://www.coursera.org/learn/data-visualization-python
811,The Total Data Quality Framework,University of Michigan,,4.5,(14 reviews),Data Analysis,Beginner / Course / 3 - 6 Months,,https://www.coursera.org/learn/the-total-data-quality-framework
812,Communicating Business Analytics Results,University of Colorado Boulder,,4.5,(508 reviews),"Business Analysis, Business Communication, Communication, Data Analysis, Data Visualization, Statistical Visualization, Data Management, Exploratory Data Analysis, Plot (Graphics), Statistical Analysis",Intermediate / Course / 3 - 6 Months,,https://www.coursera.org/learn/communicating-business-analytics-results
813,Advanced Business Analytics Capstone,University of Colorado Boulder,,4.3,(79 reviews),Data Analysis,Intermediate / Course / 3 - 6 Months,,https://www.coursera.org/learn/data-analytics-business-capstone
814,Computer Vision Fundamentals with Google Cloud,Google Cloud,,4.6,(535 reviews),"Machine Learning, Artificial Neural Networks, Google Cloud Platform, Tensorflow",Advanced / Course / 3 - 6 Months,,https://www.coursera.org/learn/image-understanding-tensorflow-gcp
815,Advanced Data Analysis and Collaboration in Qlik Sense,Coursera Instructor Network,,,,Data Analysis,Advanced / Course / 3 - 6 Months,Free,https://www.coursera.org/learn/advanced-data-analysis-and-collaboration-in-qlik-sense
816,Machine Learning for Computer Vision,MathWorks,,4.9,(14 reviews),"Computer Vision, Machine Learning",Intermediate / Course / 3 - 6 Months,,https://www.coursera.org/learn/ml-computer-vision
817,Data Science Project: MATLAB for the Real World,MathWorks,,4.8,(24 reviews),"Data Analysis, Machine Learning, Data Science, Matlab",Intermediate / Course / 3 - 6 Months,,https://www.coursera.org/learn/matlab-capstone
818,Leveraging Virtual Assistants for Personal Productivity,Coursera Instructor Network,,4.4,(16 reviews),,Beginner / Course / 3 - 6 Months,Free,https://www.coursera.org/learn/leveraging-virtual-assistants-for-personal-productivity
819,Insights of Power BI,Fractal Analytics,,4.5,(16 reviews),"Data Analysis, Data Model, Data Visualization, Power BI",Beginner / Course / 3 - 6 Months,,https://www.coursera.org/learn/power-bi-insights
820,Dealing With Missing Data,"University of Maryland, College Park",,3.8,(129 reviews),"General Statistics, Probability & Statistics, Data Analysis, Estimation",Mixed / Course / 3 - 6 Months,,https://www.coursera.org/learn/missing-data
821,Python Packages for Data Science,University of Colorado Boulder,,4.4,(32 reviews),"Python Programming, Data Visualization",Intermediate / Course / 3 - 6 Months,,https://www.coursera.org/learn/python-packages-data-science
822,Solve Business Problems with AI and Machine Learning,CertNexus,,4.3,(39 reviews),Machine Learning,Intermediate / Course / 3 - 6 Months,,https://www.coursera.org/learn/solve-problems-ai-machine-learning
823,Big Data: el impacto de los datos masivos en la sociedad actual,Universitat AutÃ²noma de Barcelona,,4.7,(2.2K reviews),"Big Data, Business Analysis, Data Analysis, Data Management, Data Structures, Machine Learning, Data Architecture, Data Visualization, Exploratory Data Analysis, General Statistics",Beginner / Course / 3 - 6 Months,,https://www.coursera.org/learn/impacto-datos-masivos
824,Big Data: adquisiciÃ³n y almacenamiento de datos,Universitat AutÃ²noma de Barcelona,,4.4,(622 reviews),"Big Data, Data Management, Apache, Extract, Transform, Load, SQL, Data Analysis, Databases, NoSQL, Data Analysis Software, Distributed Computing Architecture",Intermediate / Course / 3 - 6 Months,,https://www.coursera.org/learn/adquisicion-almacenamiento-de-datos
825,Connect an App to a Cloud SQL for PostgreSQL Instance,Google Cloud,,5.0,(9 reviews),"Kubernetes, PostgreSQL",Beginner / Project / Less Than 2 Hours,,https://www.coursera.org/projects/googlecloud-connect-an-app-to-a-cloud-sql-for-postgresql-instance-mhiqu
826,ì ê²½ë§ ë° ë¥ ë¬ë,DeepLearning.AI,,5.0,(6 reviews),,Intermediate / Course / 3 - 6 Months,,https://www.coursera.org/learn/neural-networks-deep-learning-ko
827,AI ìê³ ë¦¬ì¦ ëª¨ë¸ê³¼ íê³ì ,LearnQuest,,4.5,(12 reviews),,Beginner / Course / 3 - 6 Months,Free,https://www.coursera.org/learn/ai-algorithm-limitations-ko
828,Fundamentos de InteligÃªncia Artificial para FinanÃ§as,FundaÃ§Ã£o Instituto de AdministraÃ§Ã£o,,,,"Business Analysis, Leadership and Management, Strategy, Communication, Strategy and Operations",Beginner / Course / 3 - 6 Months,,https://www.coursera.org/learn/fundamentos-de-inteligencia-artificial-para-financas
829,Data Manipulation at Scale: Systems and Algorithms,University of Washington,,4.3,(764 reviews),"Python Programming, SQL, Computer Programming",Mixed / Course / 3 - 6 Months,,https://www.coursera.org/learn/data-manipulation
830,R-Programmierung zur Datenanalyse,Google,,,,"Design and Product, Software Engineering, Data Analysis, Computer Programming, Microsoft Excel, Business Analysis",Beginner / Course / 3 - 6 Months,,https://www.coursera.org/learn/r-programmierung-zur-datenanalyse
831,IntroducciÃ³n al procesamiento de lenguaje natural,Universidad Austral,,4.5,(22 reviews),"Business Analysis, Communication, Leadership and Management, Strategy",Beginner / Course / 3 - 6 Months,,https://www.coursera.org/learn/introduccion-al-procesamiento-de-lenguaje-natural
832,NLP Modelos y Algoritmos,Universidad Austral,,3.8,(9 reviews),"Business Analysis, Communication, Leadership and Management, Strategy",Beginner / Course / 3 - 6 Months,,https://www.coursera.org/learn/nlp-modelos-y-algoritmos
833,Limpieza de datos para el procesamiento de lenguaje natural,Universidad Austral,,4.3,(14 reviews),"Leadership and Management, Strategy, Communication",Beginner / Course / 3 - 6 Months,,https://www.coursera.org/learn/limpieza-de-datos-para-el-procesamiento-de-lenguaje-natural
834,NLP System Architecture and Dev-Ops,Universidad Austral,,,,"Communication, Leadership and Management, Strategy, Business Analysis, Strategy and Operations",Beginner / Course / 3 - 6 Months,,https://www.coursera.org/learn/nlp-system-architecture-and-dev-ops
835,Cloud SQL for MySQL: Qwik Start,Google Cloud,,4.6,(21 reviews),Cloud Computing,Beginner / Project / Less Than 2 Hours,,https://www.coursera.org/projects/googlecloud-cloud-sql-for-mysql-qwik-start-etqlf
836,Relational Database Implementation and Applications,Illinois Tech,Make progress toward a degree,,,,Intermediate / Course / 3 - 6 Months,Free,https://www.coursera.org/learn/illinois-tech-relational-database-implementation-and-applications
837,4.ããã¼ãã£ã¼ããªãã¼ã¿ããã¯ãªã¼ã³ãã«ãã,Google,,4.7,(27 reviews),"Data Analysis, Data Management, Databases, SQL, Big Data, Data Analysis Software, Microsoft Excel, Spreadsheet Software",Beginner / Course / 3 - 6 Months,,https://www.coursera.org/learn/process-data-japanese
838,Bayesian Inference with MCMC,Databricks,,3.3,(20 reviews),"General Statistics, Probability & Statistics",Beginner / Course / 3 - 6 Months,,https://www.coursera.org/learn/mcmc
