Kod wojewdztwa,Kod powiatu,Kod gminy,Wojewdztwo,Powiat,Gmina,Typ gminy,Nazwa formularza,Liczba podatnikw,Kwota przychodu                   w tys zotych,Kwota dochodu w tys zotych,Kwota dochodu do opodatkowania                  w tys zotych,Podatek naleny                  w tys zotych
2,5,11,DOLNOLSKIE,JAWORSKI,JAWOR,GM,PIT38,143,13445,1370,1288,242
2,5,11,DOLNOLSKIE,JAWORSKI,JAWOR,GM,PIT39,37,8434,4473,112,21
2,5,11,DOLNOLSKIE,JAWORSKI,JAWOR,GM,PIT40A,2377,50542,50542,50542,0
2,5,23,DOLNOLSKIE,JAWORSKI,BOLKW,MW,PIT28,264,42746,0,0,2472
2,5,23,DOLNOLSKIE,JAWORSKI,BOLKW,MW,PIT36,606,74613,25173,22632,1312
2,5,23,DOLNOLSKIE,JAWORSKI,BOLKW,MW,PIT36L,61,121438,17675,16975,3225
2,5,23,DOLNOLSKIE,JAWORSKI,BOLKW,MW,PIT37,4215,184322,175794,157165,6311
2,5,23,DOLNOLSKIE,JAWORSKI,BOLKW,MW,PIT38,40,1849,82,77,15
2,5,23,DOLNOLSKIE,JAWORSKI,BOLKW,MW,PIT39,19,4758,2887,370,70
2,5,23,DOLNOLSKIE,JAWORSKI,BOLKW,MW,PIT40A,1296,26850,26850,26849,2
2,5,32,DOLNOLSKIE,JAWORSKI,MCINKA,GW,PIT28,190,23930,0,0,1465
2,5,32,DOLNOLSKIE,JAWORSKI,MCINKA,GW,PIT36,319,53968,14777,13422,1054
2,5,32,DOLNOLSKIE,JAWORSKI,MCINKA,GW,PIT36L,44,100569,13464,13106,2490
2,5,32,DOLNOLSKIE,JAWORSKI,MCINKA,GW,PIT37,2388,121104,115580,102113,4878
2,5,32,DOLNOLSKIE,JAWORSKI,MCINKA,GW,PIT38,17,5326,72,59,11
2,5,32,DOLNOLSKIE,JAWORSKI,MCINKA,GW,PIT39,7,2087,1014,0,0
2,5,32,DOLNOLSKIE,JAWORSKI,MCINKA,GW,PIT40A,488,9282,9282,9282,0
2,5,42,DOLNOLSKIE,JAWORSKI,MCIWOJW,GW,PIT28,148,19593,0,0,1055
2,5,42,DOLNOLSKIE,JAWORSKI,MCIWOJW,GW,PIT36,246,45946,10414,9311,525
2,5,42,DOLNOLSKIE,JAWORSKI,MCIWOJW,GW,PIT36L,26,68960,7381,7056,1341
2,5,42,DOLNOLSKIE,JAWORSKI,MCIWOJW,GW,PIT37,1723,78603,74664,65907,2679
